Job Name,URL,Description,PDF Link,PDF Content,Languages,Remote Testing,Job Levels,Test Type,Assessment Length
Account Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/account-manager-solution/,"The Account Manager solution is an assessment used for job candidates applying to mid-level leadership positions that tend to manage the day-to-day operations and activities of client accounts. Sample tasks for these jobs include, but are not limited to: communicating with clients about project status, developing and maintaining project plans, coordinating internally with appropriate project personnel, and ensuring client expectations are being met. Potential job titles that use this solution are: Account Executive, Account Manager, and Senior Account Manager. There are multiple configurations of this solution available.",,,Not specified,No,Not specified,"C, P, A, B, A, B, C, D, E, K, P, S",Not specified
Administrative Professional - Short Form,https://www.shl.com/solutions/products/product-catalog/view/administrative-professional-short-form/,"The Administrative Professional solution is for entry to mid-level positions that involve routine clerical and administrative functions in addition to office management functions and customer service. Sample tasks for this job include, but are not limited to: arranging conference calls; drafting correspondence; scheduling meetings; greeting visitors; coordinating office activities. Potential job titles that use this solution are: Administrative Assistant, Secretary, Office Manager, Administrative Aide, and Administrative Associate.",," 
 
© 2018 SHL and/or its affiliates. All rights reserved. | Page 1 of 4 
www.shl.com 
 
Administrative Professional – One Sitting 
Assessment Fact Sheet 
 
Overview 
The Administrative Professional solution is for entry to mid-level positions that involve routine clerical 
and administrative functions in addition to office management functions and customer service. Sample 
tasks for this job include, but are not limited to: arranging conference calls; drafting correspondence; 
scheduling meetings; greeting visitors; coordinating office activities. Potential job titles that use this 
solution are: Administrative Assistant, Secretary, Office Manager, Administrative Aide, and 
Administrative Associate. 
Job Level 
Entry-level 
 
Job Family/Title 
Business Suite 
 
 
 
Details 
Average Testing Time (minutes) 
36 minutes 
Maximum Number of Questions 
179 items (151 items on average) 
Number of Sittings 
One 
 
Designed for Unproctored Environment 
Yes 
 
Question Format 
Multiple choice, Multiple choice – adaptive, 
Simulation 
 
Knowledge, 
Skills, Abilities 
and 
Competencies 
Measured 
Typing Skills: This is a measure of speed and accuracy in typing text presented on the computer 
screen. The overall score is based on the total number of keystrokes, time taken, and number of errors 
made when typing six passages. The following method is used to determine the Net Words Per Minute 
score: Net Words Per Minute = ((Gross Words Per Minute * Time Taken) - Total Errors) / Time Taken. 
Conscientiousness: This component measures the tendency to exhibit personal responsibility, follow 
rules and guidelines, and complete work thoroughly and precisely. This trait is characterized by 
trustworthiness, fulfilling commitments, dedication to the completion of all work tasks completely and 
accurately, and organization. 
Composure: This component measures the tendency of one's ability to think clearly and objectively 
during times of stress or intense pressure. This trait is often described as ""grace under fire"" and is 
further characterized by operating under a positive outlook despite criticism, worries, and guilt. 
Professional Potential:  This is a measure of the tendency to have potential for success across 
industry type and functional area. This is characterized by scores that are derived from responses to 
questions regarding academic and social background, and aspirations concerning work. 
Drive for Success:  This component measures the tendency to set and accomplish challenging goals, 
to believe in one's own ability to get the job done, and to assert one's influence to drive others towards a 
common goal. This trait is characterized by working hard, demonstrating optimism in the face of 
adversity, and negotiating effectively with others to accomplish goals. 
Customer Focus:  This measures the tendency to show persistent enthusiasm when interacting with 
customers. This trait is characterized by: apologizing sincerely for inconveniences, being patient, 
tolerating rude customers calmly, and searching for information or products for customers. 
 
 
© 2018 SHL and/or its affiliates. All rights reserved. | Page 2 of 4 
www.shl.com 
 
Example 
Questions 
 
 
 
© 2018 SHL and/or its affiliates. All rights reserved. | Page 3 of 4 
www.shl.com 
 
 
 
 
© 2018 SHL and/or its affiliates. All rights reserved. | Page 4 of 4 
www.shl.com 
 
Example 
Reports 
 
 
 
 
 
 
 
 
 
",Not specified,No,Not specified,"A, K, P, A, B, C, D, E, K, P, S",Not specified
Agency Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/agency-manager-solution/,"The Agency Manager solution is for mid-level sales management positions that include front line management and sales responsibilities. Sample tasks for this job include, but are not limited to: directing and coordinating financial activities of workers in a branch, office, or department of an establishment, such as branch bank, brokerage firm, risk and insurance department, or credit department.  Potential job titles that use this solution are: Agency Manager, Brokerage Manager. Multiple configurations of this solution are available.",,,Not specified,No,Not specified,"A, B, P, S, A, B, C, D, E, K, P, S",Not specified
Apprentice + 8.0 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/apprentice-8-0-job-focused-assessment-4261/,"The Apprentice + 8.0 Job-Focused Assessment is a short, targeted, globally applicable assessment which includes a short cognitive ability measure. This assessment is designed for entry-level positions appropriate for countries and industries that use an apprenticeship model. It is intended to be used multi-nationally for organisations whose business spans across regions.",," 
 
© 2024 SHL and its affiliates. 
shl.com 
Apprentice + 8.0 
Assessment Fact Sheet 
 
Overview 
The Apprentice + 8.0 Job-Focused Assessment is designed for entry-level positions 
appropriate for countries and industries that use an apprenticeship model. It is intended to be 
used multinationally for organisations whose business spans across regions. 
Potential job titles that use this JFA include:  
• 
Apprentice Electrician 
• 
Apprentice Pharmacy Services Assistant 
• 
Apprentice Healthcare Support Worker 
• 
Apprentice Teaching Assistant 
• 
Apprentice Roofer 
• 
Apprentice Customer Service Practitioner 
 
This JFA includes the Apprentice Relevant Experiences Scale. This scale measures Relevant 
Experiences in a short, multiple-choice questions assessment that asks candidates to reflect on 
their past experiences in internships, class projects, volunteer work, or other similar 
experiences. The Apprentice Relevant Experiences Scale is not offered as a standalone 
assessment; as part of the JFA, the Apprentice Relevant Experiences Scale is paired with a 
cognitive assessment and a behavioral assessment that covers additional competencies. 
 
Job Level .................................................................................. Apprentice 
 
Details 
Platform .................................................................................. TalentCentral+ 
Average Testing Time (minutes) ............................................ 30 minutes 
Maximum Number of Questions ........................................... 99 
Designed for Unproctored Environment .............................. Yes 
Question Format .................................................................... Forced Choice; Multiple Choice 
 
 
 
 
 
© 2024 SHL and its affiliates. 
shl.com 
Knowledge, Skills, Abilities and Competencies Measured 
Apprentice Potential: This is a measure of potential for success across industry and 
functional area. This trait is characterized by the ability to work well with others, respond 
appropriately to problem situations, complete work on time, and work towards goals.  
Listens Attentively: This measures the extent to which the candidate listens patiently and 
attentively. 
Accepts Others: This measures the extent to which the candidate appreciates different 
viewpoints and is non-judgmental. 
Shows Courtesy: This measures the extent to which the candidate shows courtesy and is 
polite to others. 
Creates a Positive Impression: This measures the extent to which the candidate manages 
their own behavior to create a positive impression. 
Uses Time Efficiently: This measures the extent to which the candidate manages their own 
time and delivers work on schedule. 
Learns Quickly*: This measures the extent to which the candidate absorbs new information 
and masters new techniques easily. 
Attends to Multiple Tasks: This measures the extent to which the candidate attends to and 
delivers on multiple tasks effectively. 
Works to High Quality Standards: This measures the extent to which the candidate 
completes every task with a high degree of quality. 
Attends to Work Reliably: This measures the extent to which the candidate attends to work 
punctually and reliably, and communicates upcoming delays or absences 
 
 
*This competency is a composite of the behavioral assessment as well at SHL Cognitive: Apprentice, an 
interactive test of general cognitive ability 
 
",Not specified,No,Not specified,"B, P, A, B, C, D, E, K, P, S",Not specified
Apprentice 8.0 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/apprentice-8-0-job-focused-assessment/,"The Apprentice 8.0 Job-Focused Assessment is a short, targeted, globally applicable assessment. This assessment is designed for entry-level positions appropriate for countries and industries that use an apprenticeship model. It is intended to be used multi-nationally for organizations whose business spans across regions.",," 
 
© 2024 SHL and its affiliates. 
shl.com 
Apprentice 8.0 
Assessment Fact Sheet 
 
Overview 
The Apprentice 8.0 Job-Focused Assessment is designed for entry-level positions appropriate 
for countries and industries that use an apprenticeship model. It is intended to be used 
multinationally for organisations whose business spans across regions. 
Potential job titles that use this JFA include:  
• 
Apprentice Electrician 
• 
Apprentice Pharmacy Services Assistant 
• 
Apprentice Healthcare Support Worker 
• 
Apprentice Teaching Assistant 
• 
Apprentice Roofer 
• 
Apprentice Customer Service Practitioner 
 
This JFA includes the Apprentice Relevant Experiences Scale. This scale measures Relevant 
Experiences in a short, multiple-choice questions assessment that asks candidates to reflect on 
their past experiences in internships, class projects, volunteer work, or other similar 
experiences. The Apprentice Relevant Experiences Scale is not offered as a standalone 
assessment; as part of the JFA, the Apprentice Relevant Experiences Scale is paired with a 
behavioral assessment that covers additional competencies. 
 
Job Level ...................................................................................... Apprentice 
 
Details 
Platform ...................................................................................... TalentCentral+ 
Average Testing Time (minutes) .............................................. 20 minutes 
Maximum Number of Questions ............................................. 91 
Designed for Unproctored Environment ................................ Yes 
Question Format........................................................................ Forced Choice; Multiple Choice 
 
 
 
 
 
© 2024 SHL and its affiliates. 
shl.com 
Knowledge, Skills, Abilities and Competencies Measured 
Apprentice Potential: This is a measure of potential for success across industry and 
functional area. This trait is characterized by the ability to work well with others, respond 
appropriately to problem situations, complete work on time, and work towards goals.   
Listens Attentively: This measures the extent to which the candidate listens patiently and 
attentively. 
Accepts Others: This measures the extent to which the candidate appreciates different 
viewpoints and is non-judgmental. 
Shows Courtesy: This measures the extent to which the candidate shows courtesy and is 
polite to others. 
Creates a Positive Impression: This measures the extent to which the candidate manages 
their own behavior to create a positive impression. 
Uses Time Efficiently: This measures the extent to which the candidate manages their own 
time and delivers work on schedule. 
Learns Quickly: This measures the extent to which the candidate absorbs new information 
and masters new techniques easily. 
Attends to Multiple Tasks: This measures the extent to which the candidate attends to and 
delivers on multiple tasks effectively. 
Works to High Quality Standards: This measures the extent to which the candidate 
completes every task with a high degree of quality. 
Attends to Work Reliably: This measures the extent to which the candidate attends to work 
punctually and reliably, and communicates upcoming delays or absences. 
 
 
 
",Not specified,No,Not specified,"B, P, A, B, C, D, E, K, P, S",Not specified
Bank Administrative Assistant - Short Form,https://www.shl.com/solutions/products/product-catalog/view/bank-administrative-assistant-short-form/,"The Administrative Assistant solution is for entry-level clerical positions that interact with external or internal customers. Sample tasks for these jobs include, but are not limited to: answering telephones, managing files and records, sorting mail, greeting customers, and collaborating with co-workers on projects. Potential job titles that use this solution are: Receptionist and Administrative Assistant. There are multiple configurations of this solution available.",," 
 
© 2018 SHL and/or its affiliates. All rights reserved. | Page 1 of 3 
www.shl.com 
 
Administrative Assistant – One Sitting 
Assessment Fact Sheet 
 
Overview 
The Administrative Assistant solution is for entry-level clerical positions that interact with external or 
internal customers. Sample tasks for these jobs include, but are not limited to: answering telephones, 
managing files and records, sorting mail, greeting customers, and collaborating with co-workers on 
projects. Potential job titles that use this solution are: Administrative Assistant, Administrative Specialist, 
Receptionist, and Secretary.  
Job Level 
Entry-level 
 
Job Family/Title 
Banking 
 
 
 
Details 
Number of Sittings 
One 
Designed for Unproctored Environment 
Yes 
Question Format 
Simulation, Multiple choice 
 
 
 
 
Knowledge, 
Skills, Abilities 
and 
Competencies 
Measured 
Typing Skills: This is a measure of speed and accuracy in typing text presented on the computer 
screen. The overall score is based on the total number of keystrokes, time taken, and number of errors 
made when typing six passages. The following method is used to determine the Net Words Per Minute 
score: Net Words Per Minute = ((Gross Words Per Minute * Time Taken) - Total Errors) / Time Taken.  
Achievement Orientation:  This measures the potential for success in entry-level jobs. This scale 
measures self-esteem and developmental indicators of success in entry-level customer service jobs 
through questions regarding developmental influences, self-esteem, work history, and work-related 
values and attitudes. 
Conscientiousness: This measures the tendency to be aware of and follow company policies and 
procedures, including:  working in an organized manner, returning from meals and breaks on time, and 
working when co-workers are not working. 
Professional Potential:  This is a measure of the tendency to have potential for professional success 
across industry type and functional area. This is characterized by scores that are derived from 
responses to questions regarding academic and social background, and aspirations concerning work. 
Customer Focus:  This measures the tendency to show persistent enthusiasm when interacting with 
customers. This trait is characterized by: apologizing sincerely for inconveniences, being patient, 
tolerating rude customers calmly, and searching for information or products for customers. 
 
 
© 2018 SHL and/or its affiliates. All rights reserved. | Page 2 of 3 
www.shl.com 
 
Example 
Questions 
 
 
 
 
 
© 2018 SHL and/or its affiliates. All rights reserved. | Page 3 of 3 
www.shl.com 
 
Example 
Reports 
 
 
 
 
",Not specified,No,Not specified,"A, B, K, P, A, B, C, D, E, K, P, S",Not specified
Bank Collections Agent - Short Form,https://www.shl.com/solutions/products/product-catalog/view/bank-collections-agent-short-form/,"This solution is for entry-level collections positions in an inbound or outbound call center environment in a financial setting. Candidates answer multiple choice questions to measure achievement orientation, dependability, collector numerical skills, revenue recovery, customer focus, and persistence and planfulness. There are multiple configurations and versions of this solution available.",," 
 
© 2018 SHL and/or its affiliates. All rights reserved. | Page 1 of 2 
www.shl.com 
 
Collections Agent – One Sitting  
Assessment Fact Sheet 
 
Overview 
The Collections Agent solution is for entry-level collections positions in an inbound or outbound call 
center environment in a financial setting. Sample tasks for these jobs include, but are not limited to: 
monitoring overdue accounts to update status, calling customers with overdue accounts, and 
persuading customers to pay their overdue accounts. 
Job Level 
Entry-level 
 
Job Family/Title 
Banking 
 
 
 
Details 
Average Testing Time 
46 Minutes 
Number of Sittings 
One 
Designed for Unproctored Environment 
Yes 
 
Question Format 
Multiple choice, Simulation 
 
 
 
Knowledge, 
Skills, Abilities 
and 
Competencies 
Measured 
Persistence:  This is a measure of the tendency to set specific goals and work hard to achieve these 
goals. This trait is characterized by: suggesting the best solution for customer needs; being able to 
direct conversations towards a commitment/order/sale; and continuing to try if not successful the first 
time. 
Navigation: This measures a candidate’s interactions within a realistic contact center environment by 
providing a workspace that simulates multiple customer service-based applications running on a 
Windows desktop simultaneously. 
Service Orientation:  This measures a candidate’s tendency to focus on meeting customers’ needs in 
a simulated telephone call context. This includes the tone and language used to respond to customers’ 
questions, apologizing when appropriate, and providing solutions that directly relate to customers’ 
requests.  
Tactful Problem Solving:  This measures a candidate’s tendencies to engage in problem solving with 
customers in the context of simulated telephone calls. This includes acquiring necessary information 
from both customers and systems to understand the nature of the problem, working through ambiguity 
to determine the correct answer, and tactfully explaining the resolution of the situation to customers. 
Data Entry Speed: This measures a candidate’s ability to listen to and record information received from 
customers quickly. 
Data Entry Accuracy: This measures a candidate’s ability to listen to and record information received 
from customers accurately. 
 
 
 
 
© 2018 SHL and/or its affiliates. All rights reserved. | Page 2 of 2 
www.shl.com 
 
Example 
Questions 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
Example 
Reports 
 
 
",Not specified,No,Not specified,"A, B, P, A, B, C, D, E, K, P, S",Not specified
Bank Operations Supervisor - Short Form,https://www.shl.com/solutions/products/product-catalog/view/bank-operations-supervisor-short-form/,"The Bank Operations Supervisor solution is for job candidates applying to entry-level leadership positions who tend to supervise hourly employees. Sample tasks for these jobs include, but are not limited to:  planning and preparing work schedules, assigning employees to specific duties; coaching  employees on attendance, conduct, schedule adherence, and work tasks, developing employees' skills ; training subordinates; prioritizing multiple tasks  and priorities; and making  day-to-day decisions with minimal guidance from others. Potential job titles that use this solution are: Team Leader, First Line Supervisor, Processing Supervisor, Call Center Supervisor, and Customer Service Supervisor. There are multiple configurations and versions of this solution available.",," 
 
© 2018 SHL and/or its affiliates. All rights reserved. | Page 1 of 3 
www.shl.com 
 
Bank Operations Supervisor – One 
Sitting  
Assessment Fact Sheet 
 
Overview 
The Bank Operations Supervisor solution is for job candidates applying to entry-level leadership 
positions who tend to supervise hourly employees. Sample tasks for these jobs include, but are not 
limited to:  planning and preparing work schedules, assigning employees to specific duties; 
coaching  employees on attendance, conduct, schedule adherence, and work tasks, developing 
employees' skills ; training subordinates; prioritising multiple tasks  and priorities; and making  day-to-
day decisions with minimal guidance from others. Potential job titles that use this solution are: Team 
Leader, First Line Supervisor, Processing Supervisor, Call Center Supervisor, and Customer Service 
Supervisor. 
Job Family/Title 
Banking 
 
Job Level  
Leader 
 
 
 
Details 
Number of Sittings 
One 
Designed for Unproctored Environment 
Yes 
Question Format 
Dynamic, Multiple choice 
 
Knowledge, 
Skills, Abilities 
and 
Competencies 
Measured 
Problem Solving:  This component measures the tendency to efficiently and effectively use numerical 
and analytical reasoning. This component is characterized by the ability to solve complex problems, 
identify alternatives, and make reasoned decisions.  
Management Potential:  This is a measure of the potential for managerial success across industry type 
and functional area. This is characterized by scores that are derived from responses to questions 
regarding academic and social background, and aspirations concerning work.  
Thoroughness:  This component measures the tendency to be thorough and precise in approaching 
work and personal activities. This trait is characterized by: being accurate; finding and correcting errors; 
and maintaining order in work and personal affairs. 
Reliability:  This component measures the tendency of a person's responsibility for his/her own actions 
and a commitment to performing assigned tasks. This trait is characterized by: reliability; proactive 
involvement in work; and a dedication to complete even the most mundane tasks. 
Achievement:  This component measures the tendency to set and accomplish challenging goals, while 
persisting in the face of significant obstacles. This trait is characterized by: working hard; taking 
satisfaction and pride in producing high quality work; and being competitive. 
Innovation:  This component measures the tendency of one's creativity in working through problems 
and making decisions.  This trait is seen as: producing novel solutions to problems; using imagination to 
create unique ideas or products; and logically applying multiple and inventive strategies when 
considering alternatives. 
Influence:  This component measures the tendency of a person's effectiveness in directing and 
influencing others. This trait is characterized by: persuading and negotiating effectively with others; 
influencing others' decision-making; and coordinating others' efforts to accomplish work. 
 
 
© 2018 SHL and/or its affiliates. All rights reserved. | Page 2 of 3 
www.shl.com 
 
Independence:  This component measures the tendency of a person's willingness to take action and to 
make decisions independently. This trait is revealed in: working effectively without immediate 
supervision; not being overly dependent on help from others; and being resourceful in the face of 
challenges. 
Professional Potential:  This is a measure of the tendency to have potential for professional success 
across industry type and functional area. This is characterized by scores that are derived from 
responses to questions regarding academic and social background, and aspirations concerning work. 
 
 
Example 
Questions 
 
 
 
© 2018 SHL and/or its affiliates. All rights reserved. | Page 3 of 3 
www.shl.com 
 
Example 
Reports 
 
 
 
 
 
 
 
",Not specified,No,Not specified,"A, B, P, S, A, B, C, D, E, K, P, S",Not specified
Bilingual Spanish Reservation Agent Solution,https://www.shl.com/solutions/products/product-catalog/view/bilingual-spanish-reservation-agent-solution/,"The Bilingual Reservation Agent solution is designed for customer centered entry-level positions within the hospitality industry. Sample tasks may include making, updating, or canceling hotel reservations made in English or Spanish; listening to customers speak Spanish and entering information into a computer in English; providing information on the hotel and the services offered. Potential job titles that use this solution are: Bilingual Reservation Agent, Customer Service Representative and Reservationist. Multiple configurations of this solution are available.",," 
 
© 2018 SHL and/or its affiliates. All rights reserved. | Page 1 of 4 
www.shl.com 
 
Bilingual Reservation Agent – One 
Sitting  
Assessment Fact Sheet 
 
Overview 
The Bilingual Reservation Agent solution is for customer centered entry-level positions within the 
hospitality industry. Sample tasks may include making, updating, or cancelling hotel reservations made 
in English or Spanish; listening to customers speaking Spanish and entering information into a 
computer in English; providing information on the hotel and the services offered.  Potential job titles that 
use this solution are: Bilingual Reservation Agent, Customer Service Representative, and 
Reservationist. 
Job Level 
Entry-Level 
Job Family/Title 
Hospitality Suite 
 
 
 
Details 
Average Testing Time (minutes) 
43 minutes 
Maximum Number of Questions 
119 items (91 items on average) 
Number of Sittings 
One 
 
Designed for Unproctored Environment 
Yes 
 
Question Format 
Simulations, Multiple choice, Forced choice - 
adaptive 
 
Product Category 
Standard Job Templates 
 
Knowledge, 
Skills, Abilities 
and 
Competencies 
Measured 
 
Navigation: This measures a candidate's interactions within a realistic contact center environment by 
providing a workspace that simulates multiple customer service-based applications running on a 
Windows desktop simultaneously. 
Service Orientation: This measures a candidate's tendency to focus on meeting customers' needs in a 
simulated telephone call context. This includes the tone and language used to respond to customers' 
questions, apologizing when appropriate, and providing solutions that directly relate to customers' 
requests. 
Tactful Problem Solving: This measures a candidate's tendencies to engage in problem solving with 
customers in the context of simulated telephone calls. This includes acquiring necessary information 
from both customers and systems to understand the nature of the problem, working through ambiguity 
to determine the correct answer, and tactfully explaining the resolution of the situation to customers. 
Data Entry Speed: This measures a candidate's ability to listen to and record information received from 
customers quickly. This is calculated by the number of gross keystrokes per minute typed by an 
applicant. 
Data Entry Accuracy: This measures a candidate's ability to listen to and record information received 
from customers accurately. This is calculated by the following formula: Percent Accurate = Number of 
Correct/Number of Total * 100. 
 
 
 
© 2018 SHL and/or its affiliates. All rights reserved. | Page 2 of 4 
www.shl.com 
 
Drive for Success: This component measures the tendency to set and accomplish challenging goals, 
to believe in one's own ability to get the job done, and to assert one's influence to drive others towards a 
common goal. This trait is characterized by working hard, demonstrating optimism in the face of 
adversity, and negotiating effectively with others to accomplish goals. 
Conscientiousness: This component measures the tendency to exhibit personal responsibility, follow 
rules and guidelines, and complete work thoroughly and precisely. This trait is characterized by 
trustworthiness, fulfilling commitments, dedication to the completion of all work tasks completely and 
accurately, and organization. 
 
 
Example 
Questions 
 
 
 
 
 
 
 
 
 
© 2018 SHL and/or its affiliates. All rights reserved. | Page 3 of 4 
www.shl.com 
 
 
 
 
 
 
 
 
 
 
 
 
 
© 2018 SHL and/or its affiliates. All rights reserved. | Page 4 of 4 
www.shl.com 
 
Example 
Reports 
 
 
 
 
 
 
",Not specified,No,Not specified,"B, P, S, A, A, B, C, D, E, K, P, S",Not specified
"Bookkeeping, Accounting, Auditing Clerk Short Form",https://www.shl.com/solutions/products/product-catalog/view/bookkeeping-accounting-auditing-clerk-short-form/,"The Bookkeeping, Accounting, and Auditing Clerk solution is for entry-level positions that involve entering numerical data into computer systems and maintaining financial records. Sample tasks for this job include, but are not limited to: entering financial data into computers; checking financial records for accuracy; perform routine computations on financial data. Potential job titles that use this solution are: Accounting Clerk, Bookkeeper, Accounting Associate, Auditing Clerk and Accounts Receivable Clerk.",," 
 
© 2018 SHL and/or its affiliates. All rights reserved. | Page 1 of 4 
www.shl.com 
 
Bookkeeping, Accounting, Auditing Clerk 
– Short Form  
Assessment Fact Sheet 
 
Overview 
The Bookkeeping, Accounting, and Auditing Clerk solution is for entry-level positions that involve 
entering numerical data into computer systems and maintaining financial records. Sample tasks for this 
job include, but are not limited to: entering financial data into computers; checking financial records for 
accuracy; perform routine computations on financial data. Potential job titles that use this solution are: 
Accounting Clerk, Bookkeeper, Accounting Associate, and Accounts Receivable Clerk. 
Job Level 
Entry-level 
 
Job Family/Title 
Business Suite 
 
 
 
Details 
Average Testing Time (minutes) 
49 minutes 
Maximum Number of Questions 
179 items (132 items on average) 
Number of Sittings 
One 
 
Designed for Unproctored Environment 
Yes 
 
Question Format 
Multiple choice, Multiple choice – adaptive, 
Simulation 
 
Knowledge, 
Skills, Abilities 
and 
Competencies 
Measured 
Data Entry Skills: This is a measure of speed and accuracy when typing presented data into fields on a 
computer form. Specific skills that are measured include data entry speed, data entry accuracy, and 
error recognition.  
Conscientiousness: This component measures the tendency to exhibit personal responsibility, follow 
rules and guidelines, and complete work thoroughly and precisely. This trait is characterized by 
trustworthiness, fulfilling commitments, dedication to the completion of all work tasks completely and 
accurately, and organization. 
Service Professionalism:  This is a measure of the tendency to have potential for success across 
industry type and functional area. This is characterized by scores that are derived from responses to 
questions regarding academic and social background, and aspirations concerning work. 
Quantitative Ability: This assessment measures the ability to comprehend numerical information in a 
variety of formats.  It provides an indication of how an individual will perform when working with 
numbers, money, tables, bar charts, pie charts, records, analysis reports, and other data found in the 
workplace. Quantitative skills are commonly required for a variety of jobs at many different levels. 
Because this test utilizes computer adaptive technology, it is suitable for unproctored use.  
Drive for Success: This component measures the tendency to set and accomplish challenging goals, 
to believe in one's own ability to get the job done, and to assert one's influence to drive others towards a 
common goal. This trait is characterized by working hard, demonstrating optimism in the face of 
adversity, and negotiating effectively with others to accomplish goals. 
 
 
 
© 2018 SHL and/or its affiliates. All rights reserved. | Page 2 of 4 
www.shl.com 
 
Example 
Questions 
 
 
 
 
 
© 2018 SHL and/or its affiliates. All rights reserved. | Page 3 of 4 
www.shl.com 
 
 
 
 
 
 
 
 
© 2018 SHL and/or its affiliates. All rights reserved. | Page 4 of 4 
www.shl.com 
 
Example 
Reports 
 
 
 
 
 
 
",Not specified,No,Not specified,"P, S, K, B, A, A, B, C, D, E, K, P, S",Not specified
